Common name,PROTEIN,ASH,FAT,DIETARY-FIBRE,CARBOHYDRATE,ENERGY,THIAMINE,RIBOFLAVIN,NIACIN,PANTAC,VITAMIN B6,VITAMIN B7,VITAMIN B9,VITAMIN C,ALUMINIUM,CALCIUM,COPPER,IRON,MAGNESIUM,MANGANESE,NICKEL,PHOSPHOR,POTASSIUM,SODIUM,ZINC
Maagaa,20.11,1.01,0.67,0.01,0.01,366,0.02,0.01,0.73,0.4,106,0.01,470.44,0.01,0.01,4.21,0.01,0.23,30.32,0.01,0.002,181,375,52.28,0.35
Mace,6.51,1.375,12.305,10.27,13.66,750,0.075,0.082,0.515,0.2,0.17,1.035,301.44,0.01,1.205,88.75,1.015,14.78,116.05,1.425,0.176,63.85,324.45,16.99,0.655
Mackerel,21.85,0.815,1.23,0.01,0.01,231.5,0.045,0.065,2.335,0.715,51.45,0.01,471.44,0.01,0.01,23.585,0.075,1.045,23.75,0.01,0.002,124.8,172.9,48,0.39
Maize,5.95,0.362,1.228,3.485,17.882,391.833,0.111,0.064,0.843,0.187,0.217,0.787,33.44,1.607,0.547,4.033,0.175,0.698,41.453,0.263,0.014,106.267,137.267,1.537,0.745
Manda clathi,21.27,1.48,1,0.01,0.01,398,0.03,0.02,2.77,1.02,87.58,0.01,472.44,0.01,0.01,5.74,0.005,0.43,37.88,0.01,0.006,320,431,58.5,0.37
Mango,0.6,0.319,0.384,1.463,7.542,154.625,0.022,0.03,0.199,0.092,0.108,1.091,218.94,29.626,0.017,8.906,0.045,0.324,9.914,0.161,0.003,9.627,111.025,3.032,0.089
Mango ginger,1.82,0.855,0.365,2.62,3.565,90,0.01,0.042,0.23,0.14,0.095,0.99,289.44,0.96,0.01,8.165,0.065,1.79,21.565,1.025,0.008,44.23,193.25,3.4,0.305
Mangosteen,0.63,0.33,0.24,1.87,11.41,219,0.01,0.01,0.58,0.15,0.18,0.81,230.44,26.33,0.17,2.345,0.055,0.28,12,0.04,5.183,7.18,46.93,3.79,0.21
Manila tamarind,3.56,2.82,1.14,4.4,13.54,342,0.18,0.14,0.4,0.18,0.04,0.22,231.44,55.78,0.01,4.255,0.11,0.71,32.98,0.27,0,73.53,376,1.35,0.56
Matha,21.17,1.35,0.79,0.01,0.01,389,0.05,0.05,2.37,1.4,42.45,0.01,473.44,0.01,0.01,7.01,0.01,0.32,40.24,0.01,0.012,263,450,62.58,0.32
Milk,3.565,0.348,2.888,0.01,3.765,196.5,0.023,0.073,0.042,0.19,0.023,1.115,337.94,1.212,0.01,61.225,0.02,0.088,5.292,0.005,0,49.718,58.425,15.35,0.178
Milk fish,23.66,1.12,1.09,0.01,0.01,442,0.05,0.07,5.21,1.03,76.51,0.01,474.44,0.01,0.01,14.59,0.225,1.35,35.38,0.02,0.003,292,301,42.98,2.43
Mint leaves,4.81,1.175,0.35,3.19,1.375,79.5,0.012,0.11,0.485,0.215,0.099,1.32,290.44,11.955,0.665,118.4,0.275,5.885,70.45,0.815,0.021,40.715,270.85,11.12,0.415
Mithun,18.95,0.843,7.12,0.01,0.01,585.667,0.087,0.097,5.45,1.43,0.333,0.01,420.44,0.01,0.293,2.412,0.043,2.16,19.763,0.013,0.037,189,289,34.51,5.22
Moon fish,20.74,1.69,4.69,0.01,0.01,526,0.07,0.07,1.83,1.72,136,0.01,475.44,0.01,0.01,14.59,0.08,1.67,37.14,0.04,0.003,169,157,65.17,0.93
Moth bean,20.13,1.66,0.925,7.805,26.525,653.5,0.26,0.048,0.975,0.735,0.084,1.165,66.44,0.01,0.48,85.5,0.35,4.035,109.25,0.545,0.097,196.85,704.6,13.22,1
Mud crab,10,2.6,0.55,0.01,0.01,190,0.06,0.14,0.6,1.3,180,0.01,534.44,0.01,0.01,100.5,0.615,0.87,46.92,0.79,0.002,153,227,305,3.3
Mullet,21.53,0.645,0.795,0.01,0.01,209.5,0.035,0.1,2.36,0.585,75.1,0.01,476.44,0.01,0.01,20.515,0.055,1.145,19.14,0.035,0.003,128.6,174.95,36.5,0.29
Mural,19.04,1.11,0.58,0.01,0.01,345,0.06,0.03,2.65,0.37,67.24,0.01,477.44,0.01,0.01,4.305,0.01,0.24,27.1,0.01,0.001,224,330,110,0.71
Musk melon,0.53,0.265,0.162,0.845,2.77,59.75,0.01,0.012,0.242,0.073,0.032,0.452,232.94,12.172,0.025,5.978,0.03,0.122,6.828,0.025,0.004,8.732,121.525,9.292,0.057
Mustard leaves,3.73,0.79,0.28,1.99,1.435,68,0.046,0.098,0.325,0.135,0.084,0.955,101.44,30.82,0.895,107.4,0.155,1.48,28.005,0.24,0.008,44.125,232.75,11.405,0.385
Mustard seeds,19.74,1.89,20.2,7.38,8.755,1074,0.308,0.17,2.105,0.26,0.13,0.905,320.44,0.01,4.69,228,0.42,8.22,156.65,2.705,0.056,398.55,403,2.49,2.145
Myil meen,22.89,1.21,0.56,0.01,0.01,410,0.04,0.04,4.41,0.71,119,0.01,478.44,0.01,0.01,3.6,0.06,1.2,30.08,0.02,0.004,268,365,61.96,0.58
Nalla bontha,19.82,1,0.72,0.01,0.01,364,0.04,0.01,0.56,0.22,83.41,0.01,479.44,0.01,0.01,4.52,0.01,0.31,29.2,0.01,0.003,197,403,57.87,0.3
Narba,21.95,1.17,1.6,0.01,0.01,432,0.05,0.04,1.51,0.75,153,0.01,480.44,0.01,0.01,3.605,0.05,1.11,26.33,0.01,0.003,235,384,49.51,0.45
